"tripID","timestamp","altitude","course","horizontalAccuracy","latitude","longitude","rawSpeed","speedInMPH","verticalAccuracy","brakingFlag","speedingFlag"
"DW22122013143248227054","2013-12-22 19:32:48.734 +0000",224,288.671722,5,42.449833,-85.843799,12.65054,28.2985,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:49.680 +0000",225,273.247345,5,42.449861,-85.844005,16.310192,36.484921,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:50.691 +0000",224,273.247345,5,42.44987,-85.84422,17.018259,38.068825,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:51.693 +0000",223,272.121033,5,42.449876,-85.844391,17.039347,38.115997,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:52.877 +0000",222,272.121033,5,42.44988,-85.84451,15.451833,34.564823,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:53.693 +0000",221,270.982788,5,42.449882,-85.844729,14.04318,31.413752,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:54.693 +0000",220,270.982788,5,42.449886,-85.844981,13.991602,31.298374,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:55.689 +0000",221,270.982788,5,42.449891,-85.845388,15.939337,35.655338,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:56.680 +0000",220,270.982788,5,42.449894,-85.845669,21.45726,47.998604,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:57.680 +0000",220,270.982788,5,42.449898,-85.845935,21.624796,48.373371,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:58.725 +0000",221,270.982788,5,42.449901,-85.846214,21.629848,48.384674,3,"N","N"
"DW22122013143248227054","2013-12-22 19:32:59.701 +0000",221,270.982788,5,42.449905,-85.846502,22.298754,49.880974,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:00.676 +0000",222,270.982788,10,42.449909,-85.846828,22.726387,50.837563,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:01.724 +0000",223,271.095703,10,42.449914,-85.847215,24.555748,54.929733,6,"N","N"
"DW22122013143248227054","2013-12-22 19:33:02.704 +0000",221,271.095703,5,42.449914,-85.847211,24.608335,55.047371,6,"N","N"
"DW22122013143248227054","2013-12-22 19:33:03.697 +0000",221,271.095703,5,42.449917,-85.847463,20.760197,46.439316,6,"N","N"
"DW22122013143248227054","2013-12-22 19:33:04.677 +0000",222,271.882233,5,42.449921,-85.847708,5.3453323,45.02948,6,"N","N"
"DW22122013143248227054","2013-12-22 19:33:05.679 +0000",222,271.882233,5,42.449927,-85.847932,7.5362552,44.964508,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:06.720 +0000",222,272.409119,5,42.449934,-85.848173,10.725276,43.656361,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:07.751 +0000",222,272.88443,5,42.449941,-85.848393,14.478203,41.334633,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:08.697 +0000",222,272.88443,5,42.449949,-85.848603,17.423073,38.974369,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:09.665 +0000",221,272.88443,5,42.449956,-85.848803,17.158478,38.382484,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:10.668 +0000",222,272.88443,5,42.449964,-85.849012,17.043554,38.125408,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:11.673 +0000",223,272.88443,5,42.449972,-85.849223,17.040106,38.117695,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:12.678 +0000",223,272.88443,5,42.44998,-85.849433,17.137007,38.334457,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:13.678 +0000",222,272.88443,5,42.449988,-85.849638,17.139864,38.340847,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:14.675 +0000",221,272.88443,5,42.449995,-85.849832,16.548298,37.017548,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:15.665 +0000",222,272.88443,5,42.450003,-85.850045,16.520609,36.955612,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:16.702 +0000",221,272.88443,5,42.450011,-85.850257,16.725697,37.414379,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:17.670 +0000",221,272.88443,5,42.450018,-85.850461,16.729666,37.42326,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:18.672 +0000",221,272.422241,5,42.450025,-85.850662,16.286341,36.431568,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:19.675 +0000",221,272.422241,5,42.450031,-85.850845,16.169565,36.170345,3,"N","N"
"DW22122013143248227054","2013-12-22 19:33:20.681 +0000",222,272.422241,5,42.450037,-85.851049,16.160723,36.150566,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:21.697 +0000",222,272.422241,5,42.450044,-85.851255,16.585613,37.101021,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:22.674 +0000",222,272.422241,5,42.45005,-85.851457,16.626562,37.192623,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:23.832 +0000",222,272.422241,5,42.450057,-85.851661,16.732414,37.429405,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:24.681 +0000",224,272.422241,5,42.450064,-85.851897,16.757597,37.485741,4,"N","N"
"DW22122013143248227054","2013-12-22 19:33:25.721 +0000",223,272.422241,5,42.450071,-85.852111,17.871712,39.977947,4,"N","N"
